cmp_x,z_max_m,lambda_max_m
1.56,11.25,22.50
1.69,11.00,22.00
1.81,11.50,23.00
1.94,11.50,23.00
2.06,9.75,19.50
2.19,8.00,16.00
2.31,11.75,23.50
2.44,8.50,17.00
2.56,10.00,20.00
2.69,12.75,25.50
2.81,13.75,27.50
2.94,8.25,16.50
3.19,9.50,19.00
3.44,1.87,3.74
3.69,1.92,3.84
3.81,2.04,4.09
4.19,1.90,3.79
4.56,1.99,3.99
4.69,1.97,3.94
4.81,2.09,4.19
4.94,1.92,3.84
5.06,9.00,18.00
5.19,10.50,21.00
5.31,10.75,21.50
5.44,9.50,19.00
5.56,10.50,21.00
5.81,2.09,4.19
6.31,1.82,3.64
6.56,9.75,19.50
6.69,8.50,17.00
6.81,11.00,22.00
6.94,1.60,3.20
7.31,15.00,30.00
7.44,1.06,2.12
7.56,1.06,2.12
7.81,1.10,2.20
