depth_m,cmp_1.6,cmp_1.7,cmp_1.8,cmp_1.9,cmp_2.1,cmp_2.2,cmp_2.3,cmp_2.4,cmp_2.6,cmp_2.7,cmp_2.8,cmp_2.9,cmp_3.2,cmp_3.4,cmp_3.7,cmp_3.8,cmp_4.2,cmp_4.6,cmp_4.7,cmp_4.8,cmp_4.9,cmp_5.1,cmp_5.2,cmp_5.3,cmp_5.4,cmp_5.6,cmp_5.8,cmp_6.3,cmp_6.6,cmp_6.7,cmp_6.8,cmp_6.9,cmp_7.3,cmp_7.4,cmp_7.6,cmp_7.8
0.0471,239.62,188.04,138.04,217.39,298.36,198.91,151.04,197.28,205.98,147.69,50.00,130.42,246.06,293.44,230.98,66.30,309.78,375.00,259.78,290.22,169.57,244.01,196.20,49.86,49.90,78.14,130.40,87.44,49.71,74.90,93.93,77.72,101.63,117.93,103.80,227.72
0.1256,209.42,173.26,124.33,206.20,228.36,136.39,197.61,172.68,180.98,141.32,50.00,115.74,231.69,246.93,229.53,62.25,257.99,328.32,247.83,181.34,152.78,215.40,168.73,49.92,49.95,71.16,119.94,77.70,51.74,70.42,113.02,72.22,103.09,117.39,105.13,202.49
0.2095,178.55,158.47,110.63,169.59,190.23,119.29,169.77,148.08,155.99,133.10,50.00,101.05,197.55,201.41,228.07,58.19,206.20,288.90,229.02,163.71,135.99,198.95,147.83,49.83,49.89,64.08,100.75,69.05,53.68,65.80,103.19,66.71,95.23,108.61,104.13,180.02
0.3495,147.60,143.68,96.92,147.48,159.96,102.19,141.93,123.48,130.99,115.80,50.00,87.07,163.40,183.71,221.46,54.13,154.40,247.83,202.32,163.21,119.20,172.78,126.92,49.59,49.75,56.98,84.88,60.45,50.64,60.05,66.86,61.21,77.18,101.39,100.18,158.66
0.5829,116.64,128.89,83.21,125.35,129.57,85.08,114.09,98.88,105.99,93.56,51.03,73.93,129.22,176.48,214.77,50.07,106.80,206.75,168.78,162.70,102.40,142.98,106.02,49.30,49.59,44.96,68.81,51.70,41.79,53.51,51.75,55.79,60.95,94.07,90.88,137.29
0.9724,85.66,114.11,69.51,102.87,99.40,67.98,86.23,74.28,81.00,71.42,54.23,61.13,94.98,169.21,211.80,50.00,84.44,165.66,135.22,162.20,85.61,112.97,85.12,49.35,49.59,49.66,52.10,48.87,43.65,49.65,48.88,50.86,53.24,74.07,65.67,115.93
1.6220,58.41,99.82,55.72,75.89,70.88,50.87,58.31,52.49,56.94,50.87,52.77,49.94,60.43,130.58,189.60,50.00,68.55,124.54,101.62,134.07,68.82,82.09,64.21,49.67,49.72,49.49,48.44,49.70,45.94,50.39,47.35,NaN,51.49,NaN,NaN,NaN
2.7057,49.13,63.35,49.95,50.71,42.42,50.00,50.05,49.99,50.08,50.77,50.00,49.89,52.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.55,50.00,49.78,49.74,49.07,NaN,NaN,46.38,50.34,45.96,NaN,50.41,NaN,NaN,NaN
4.5134,48.65,50.00,49.90,49.54,50.19,50.00,48.86,50.00,49.52,42.64,50.00,49.76,40.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.47,50.00,49.58,49.49,45.14,NaN,NaN,48.28,49.78,43.86,NaN,50.24,NaN,NaN,NaN
6.4274,25.00,50.00,47.73,50.44,25.00,50.00,29.85,49.92,49.32,27.01,50.00,45.18,37.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.00,50.00,36.07,36.28,36.95,NaN,NaN,35.25,49.36,37.44,NaN,49.23,NaN,NaN,NaN
